tender_id,tenderguru_card_id,niche,tender_name,doc_links_from_documentation_search
"811500001126000023","","process_automation","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1BRTI2RDhCNzI5Mjk0N0U2OTA3RDFFQUMyOEFGOTlGOA%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=AE26D8B7292947E6907D1EAC28AF99F8 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0yMjIxOUM3MjU5REU0NzRFQTY3REE2MTg0RjhEQzkzRg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=22219C7259DE474EA67DA6184F8DC93F | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1ERThENDM1NENFREM0MTFBQkRBNjI3RjkzOUQwMUY2NQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=DE8D4354CEDC411ABDA627F939D01F65"
"851200000626003499","","analytics","Оказание услуг по технической поддержке компонента Единой государственной информационной системы в сфере здравоохранения Новосибирской области информационной системы «Региональная система мониторинга движения лекарственных препаратов»","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1ERTYzOUM0QTM2Rjg0QjEyQkEzOEQ2RjIxRTQyOUMxNw%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=DE639C4A36F84B12BA38D6F21E429C17 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1DMTBEQzExN0M1Qjc0Q0IwOUZEMkFCRTVCOTVBRkUyOQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=C10DC117C5B74CB09FD2ABE5B95AFE29"
"360100030526000746","","ai_general","Оказание услуг по внедрению виртуальной АТС","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1FRjc2RkIwQjBEM0I0ODcyQTA5QTJCQTkzNDBGMzFGQQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=EF76FB0B0D3B4872A09A2BA9340F31FA"
"816500000626008791","","ai_general","Оказание услуг по предоставлению права использования программного обеспечения для организации системы сбора, хранения, обработки, анализа, моделирования и визуализации данных","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD01QTk3OEVDQzAwQzg0MDNDQTBBM0FDNzk2NjlBNTM1Mw%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=5A978ECC00C8403CA0A3AC79669A5353"
"301300279326000054","","ai_general","Оказание услуг по предоставлению неисключительного право на использование доступа к цифровому корпоративному порталу как облачной SaaS-услуги для автоматизации внутренних процессов медицинской организации","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1BQ0I5QzA3RjFGQzI0MkU2OTZBQTNCODhBMUNFMkExRg%3D%3D/docs/84213403 | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=ACB9C07F1FC242E696AA3B88A1CE2A1F"
"94522914","94522914","process_automation","Материалы ООО ""Рудное""","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9hcmNoaXZlP3Byb2NlZHVyZT01MDRjNDBhYS02YTRhLTRmODgtOTkzOS1jMjEwZjNjZjc2ZjI%3D/docs/84207854 | https://business.roseltorg.ru/api/v1/documents/archive?procedure=504c40aa-6a4a-4f88-9939-c210f3cf76f2 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9hOTk2YTE2OC04NjE4LTQ5OGMtOGRkNS1mZDc0NDlkMTcyZDk%3D/docs/84207856 | https://business.roseltorg.ru/api/v1/documents/a996a168-8618-498c-8dd5-fd7449d172d9 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9hcmNoaXZlP3Byb2NlZHVyZT03NTA0Mzg0Zi1iMTg2LTQxZmItOTQxMy0xYzM5Y2M3ZGMwMDM%3D/docs/83957933 | https://business.roseltorg.ru/api/v1/documents/archive?procedure=7504384f-b186-41fb-9413-1c39cc7dc003 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9mN2UzM2FiMy1iZGM0LTRlM2EtYjJkYS1jMzliNzYxNzQ3Zjc%3D/docs/83957934 | https://business.roseltorg.ru/api/v1/documents/f7e33ab3-bdc4-4e3a-b2da-c39b761747f7 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy81YmMxNjgyOS05MDljLTRjOTgtYmIxZS04NzNhNDg2ODQxMmM%3D/docs/83542273 | https://business.roseltorg.ru/api/v1/documents/5bc16829-909c-4c98-bb1e-873a4868412c | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9hcmNoaXZlP3Byb2NlZHVyZT04OTdiYTJhNS1hN2FiLTRjYzQtOWI4NC0wZTMwNDdmZjdjZWI%3D/docs/83542274 | https://business.roseltorg.ru/api/v1/documents/archive?procedure=897ba2a5-a7ab-4cc4-9b84-0e3047ff7ceb | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy9hcmNoaXZlP3Byb2NlZHVyZT04OTM0NzlmOC02YWU0LTQ4ZDItYWQzOS05ZTI4ZGRkY2I3ZTE%3D/docs/84111995 | https://business.roseltorg.ru/api/v1/documents/archive?procedure=893479f8-6ae4-48d2-ad39-9e28dddcb7e1 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy8wMjg0OWI5Mi0yZWM3LTQyNDAtYjJiZS0xMGU5YTczMWQ0NTI%3D/docs/84111996 | https://business.roseltorg.ru/api/v1/documents/02849b92-2ec7-4240-b2be-10e9a731d452 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly9idXNpbmVzcy5yb3NlbHRvcmcucnUvYXBpL3YxL2RvY3VtZW50cy8xN2E2ZDYzYy1lMzM4LTQ3OGEtODA2Yy1iM2E0MGNjMmYxODA%3D/docs/84111998 | https://business.roseltorg.ru/api/v1/documents/17a6d63c-e338-478a-806c-b3a40cc2f180"
"131200001026002883","","ai_general","2026-03249 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Единой государственной информационной системы здравоохранения Воронежской области» в части функционального компонента с использованием технологии искусственного интеллекта системы поддержки принятия врачебных решений для прогнозирования ТОП - 3 диагнозов на основе данных электронной истории болезни","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0zQ0MyQTVGN0E3QjY0QkU1OUMwMjBBMkZBRTBFMjBDRQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=3CC2A5F7A7B64BE59C020A2FAE0E20CE | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD03RTFCNkM1MzM2REY0RDA0QUIxQkI4MjVDNjA3QTIzOQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=7E1B6C5336DF4D04AB1BB825C607A239 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0wOTU2QTIwQzBBQjg0RTEzQUE0RDk2MTlFNDJFMDIzRA%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=0956A20C0AB84E13AA4D9619E42E023D | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1BODlGODY0NDExNzQ0OTkzOTlCNTIxRDE4NjRBOTY2NA%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A89F86441174499399B521D1864A9664 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1GQjYxNkM4QTREOTc0RTZEOTZEQ0NGQTk3MEU0RkI1Rg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=FB616C8A4D974E6D96DCCFA970E4FB5F"
"372200022226000040","","ai_general","Оказание услуг по эксплуатации и сопровождению модулей АИС WEB «Поликлиника» с предоставлением неисключительных прав использования во втором полугодии 2026 года.","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1DMjQ4RUE1RDE5ODA0QkM3QTE4NDVENzVCREVCM0U5Mg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=C248EA5D19804BC7A1845D75BDEB3E92"
"321100005826000010","","ai_general","Услуги информационно-технологической поддержки баз данных справочно-правовых систем","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD00OTBDNzcwRThCRjE0MDQ2OTJENEY2REU5MkUyNTVGNg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=490C770E8BF1404692D4F6DE92E255F6"
"830500000226001347","","llm_assistant","Оказание услуг по предоставлению доступа к программному обеспечению по модели SaaS в целях использования единого счета для оплаты парковочных сессий и оплаты проезда по платным участкам автомобильных дорог.","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1DMUU5MTJBQkIwRjA0QUEzQjI0RjZCRDEwMUZEQTE1OQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=C1E912ABB0F04AA3B24F6BD101FDA159"
